date,station,press
2020-07-27,9609,996.0141646489104
2020-08-03,9609,996.255205811138
2020-08-10,9609,996.4962469733656
2020-08-17,9609,996.7372881355932
2020-08-24,9609,996.9783292978209
2020-08-31,9609,997.2193704600485
2020-09-07,9609,997.4604116222761
2020-09-14,9609,997.7014527845037
2020-09-21,9609,997.9424939467314
2020-09-28,9609,998.183535108959
2020-10-05,9609,998.4245762711865
2020-10-12,9609,996.8590361445783
2020-10-19,9609,997.3018292682926
2020-10-26,9609,999.179518072289
2020-11-02,9609,999.4196428571429
2020-11-09,9609,1000.472619047619
2020-11-16,9609,999.167261904762
2020-11-23,9609,999.1273809523809
2020-11-30,9609,1000.0603658536585
2020-12-07,9609,1000.3666666666667
2020-12-14,9609,999.7263473053891
2020-12-21,9609,1000.5508982035929
2020-12-28,9609,998.7613095238095
2021-01-04,9609,999.9291666666667
2021-01-11,9609,999.6981927710843
2021-01-18,9609,1000.7198795180723
2021-01-25,9609,1000.2119047619047
2021-02-01,9609,1000.9910179640718
2021-02-08,9609,1001.2425149700599
2021-02-15,9609,1000.2071428571428
2021-02-22,9609,1001.5467065868263
2021-03-01,9609,998.2333333333333
2021-03-08,9609,1000.8644578313254
2021-03-15,9609,1000.6873493975904
2021-03-22,9609,997.6481927710844
2021-03-29,9609,998.1541666666666
2021-04-05,9609,996.4700598802395
2021-04-12,9609,999.4732142857143
2021-04-19,9609,999.5970238095238
2021-04-26,9609,998.6134146341464
2021-05-03,9609,998.7910714285714
2021-05-10,9609,997.556886227545
2021-05-17,9609,996.1341463414634
2021-05-24,9609,997.9596385542168
2021-05-31,9609,997.8797619047618
2021-06-07,9609,998.0601190476191
2021-06-14,9609,997.9155688622754
2021-06-21,9609,999.2083333333334
2021-06-28,9609,998.7449101796407
2021-07-05,9609,997.8285714285715
2021-07-12,9609,997.2255952380953
2021-07-19,9609,997.4234939759035
2021-07-26,9609,997.6964071856287
2021-08-02,9609,998.2049079754601
2021-08-09,9609,998.9666666666666
2021-08-16,9609,999.0285714285714
2021-08-23,9609,999.0684523809524
2021-08-30,9609,997.5130952380953
2021-09-06,9609,998.5277108433735
2021-09-13,9609,997.8688622754491
2021-09-20,9609,998.5668674698795
2021-09-27,9609,997.516265060241
2021-10-04,9609,997.7404761904761
2021-10-11,9609,996.2698795180722
2021-10-18,9609,996.3946428571428
2021-10-25,9609,1000.6095808383233
2021-11-01,9609,999.3184523809524
2021-11-08,9609,997.7035928143713
2021-11-15,9609,998.2095238095238
2021-11-22,9609,996.9796407185629
2021-11-29,9609,998.6874251497005
2021-12-06,9609,1000.3214285714286
2021-12-13,9609,1001.0556886227545
2021-12-20,9609,999.3784431137725
2021-12-27,9609,1000.408383233533
2022-01-03,9609,1001.1820359281437
2022-01-10,9609,1001.1359281437126
2022-01-17,9609,1001.8443113772455
2022-01-24,9609,999.242857142857
2022-01-31,9609,998.8640718562874
2022-02-07,9609,999.4487499999999
2022-02-14,9609,998.4137724550899
2022-02-21,9609,997.4395209580838
2022-02-28,9609,1000.9702380952381
2022-03-07,9609,999.3142857142857
2022-03-14,9609,997.1520958083833
2022-03-21,9609,996.0258823529412
2022-03-28,9609,996.0067830882352
2022-04-04,9609,995.9876838235294
2022-04-11,9609,995.9685845588235
2022-04-18,9609,995.9494852941176
2022-04-25,9609,995.9303860294117
2022-05-02,9609,995.9112867647059
2022-05-09,9609,995.8921875
2022-05-16,9609,998.2419161676646
2022-05-23,9609,998.1945121951219
2022-05-30,9609,998.0006024096386
2022-06-06,9609,997.8434523809525
2022-06-13,9609,998.4630952380952
2022-06-20,9609,998.6042424242424
2022-06-27,9609,998.0385542168674
2022-07-04,9609,996.0035928143712
2022-07-11,9609,997.5113772455089
2022-07-18,9609,997.422754491018
2022-07-25,9609,997.8464285714286
2022-08-01,9609,996.985119047619
2022-08-08,9609,998.077380952381
2022-08-15,9609,997.8563636363635
2022-08-22,9609,998.1734939759035
2022-08-29,9609,997.777245508982
2022-09-05,9609,997.8249999999999
2022-09-12,9609,997.9427083333333
2022-09-19,9609,998.0604166666667
2022-09-26,9609,998.178125
2022-10-03,9609,998.2958333333333
2022-10-10,9609,999.5684523809524
2022-10-17,9609,999.097619047619
2022-10-24,9609,1000.0089285714286
2022-10-31,9609,998.5101190476191
2022-11-07,9609,1000.160843373494
2022-11-14,9609,999.4796407185629
2022-11-21,9609,997.8125
2022-11-28,9609,998.4089285714286
2022-12-05,9609,998.1535714285714
2022-12-12,9609,998.840119760479
2022-12-19,9609,998.75
2022-12-26,9609,1000.2383233532934
2023-01-02,9609,1003.2684523809525
2023-01-09,9609,1001.7660714285715
2023-01-16,9609,999.8844311377246
2023-01-23,9609,1000.4934131736527
2023-01-30,9609,1000.1369047619048
2023-02-06,9609,999.6030120481928
2023-02-13,9609,999.639880952381
2023-02-20,9609,1000.6851190476191
2023-02-27,9609,1002.2857142857143
2023-03-06,9609,1003.9203592814372
2023-03-13,9609,1001.6730538922155
2023-03-20,9609,999.8172619047618
2023-03-27,9609,997.937951807229
2023-04-03,9609,998.6722891566266
